2026-06-23 11:58:36 [port 3001] ep 1 step 250 | reward 0.098 | sp -0.1 | steer 0.915 | steer_δ 0.085 | accel 0.56 | brake 0.00 | gear 1 | rpm 5236 | track_pos 0.327 | angle 0.012 | min_fwd 54.6m | min_r 11.1m | min_l 5.8m | dist 3600.5m | dist_raced 2.1m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 1 | damage_d 0.0
2026-06-23 11:58:36 [port 3001] ep 1 step 500 | reward 0.095 | sp -0.0 | steer 0.302 | steer_δ 0.282 | accel 0.00 | brake 0.39 | gear 1 | rpm 5236 | track_pos 0.327 | angle 0.004 | min_fwd 55.3m | min_r 11.2m | min_l 5.7m | dist 3601.9m | dist_raced 3.4m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 3 | damage_d 0.0
2026-06-23 11:58:37 [port 3001] ep 1 step 750 | reward 0.136 | sp 2.7 | steer 0.586 | steer_δ 0.000 | accel 0.22 | brake 0.00 | gear 1 | rpm 5236 | track_pos 0.329 | angle -0.002 | min_fwd 55.9m | min_r 11.3m | min_l 5.7m | dist 3602.9m | dist_raced 4.4m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 0 | damage_d 0.0
2026-06-23 11:58:37 [port 3001] ep 1 step 1000 | reward 0.048 | sp -0.0 | steer -1.000 | steer_δ 1.325 | accel 1.00 | brake 0.00 | gear 1 | rpm 5236 | track_pos 0.330 | angle -0.005 | min_fwd 55.5m | min_r 11.3m | min_l 5.7m | dist 3604.1m | dist_raced 5.6m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 14 | damage_d 0.0
2026-06-23 11:58:37 [port 3001] ep 1 step 1250 | reward 0.124 | sp 1.9 | steer 0.264 | steer_δ 0.736 | accel 0.00 | brake 1.00 | gear 1 | rpm 5236 | track_pos 0.334 | angle -0.017 | min_fwd 57.2m | min_r 11.4m | min_l 5.6m | dist 3605.5m | dist_raced 7.0m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 0 | damage_d 0.0
2026-06-23 11:58:38 [port 3001] ep 1 step 1500 | reward 0.137 | sp 2.9 | steer -0.740 | steer_δ 0.691 | accel 0.00 | brake 1.00 | gear 1 | rpm 5236 | track_pos 0.344 | angle -0.026 | min_fwd 58.2m | min_r 11.5m | min_l 5.5m | dist 3607.2m | dist_raced 8.8m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 0 | damage_d 0.0
2026-06-23 11:58:38 [port 3001] ep 1 step 1750 | reward 0.097 | sp -0.0 | steer 0.220 | steer_δ 1.220 | accel 0.00 | brake 1.00 | gear 1 | rpm 5236 | track_pos 0.344 | angle -0.010 | min_fwd 53.0m | min_r 11.2m | min_l 5.6m | dist 0.1m | dist_raced 10.0m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 2 | damage_d 0.0
2026-06-23 11:58:39 [port 3001] ep 1 step 2000 | reward 0.108 | sp 0.7 | steer 0.697 | steer_δ 1.321 | accel 0.14 | brake 0.00 | gear 1 | rpm 5236 | track_pos 0.342 | angle 0.011 | min_fwd 48.9m | min_r 11.0m | min_l 5.7m | dist 1.4m | dist_raced 11.4m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 1 | damage_d 0.0
2026-06-23 11:58:39 [port 3001] ep 1 step 2250 | reward 0.098 | sp 0.3 | steer 0.123 | steer_δ 0.877 | accel 0.38 | brake 0.00 | gear 1 | rpm 5236 | track_pos 0.330 | angle 0.040 | min_fwd 43.8m | min_r 10.6m | min_l 6.0m | dist 3.0m | dist_raced 13.0m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 2 | damage_d 0.0
2026-06-23 11:58:39 [port 3001] ep 1 step 2500 | reward 0.130 | sp 2.5 | steer 1.000 | steer_δ 0.050 | accel 0.00 | brake 0.55 | gear 1 | rpm 5236 | track_pos 0.323 | angle 0.041 | min_fwd 43.7m | min_r 10.6m | min_l 6.1m | dist 4.2m | dist_raced 14.2m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 0 | damage_d 0.0
2026-06-23 11:58:40 [port 3001] ep 1 step 2750 | reward 0.114 | sp 1.4 | steer 0.354 | steer_δ 1.354 | accel 0.00 | brake 1.00 | gear 1 | rpm 5236 | track_pos 0.314 | angle 0.051 | min_fwd 42.4m | min_r 10.4m | min_l 6.3m | dist 5.3m | dist_raced 15.3m | lap 0 | corner False | slow False | zone_mult 0.00 | stopped 0 | damage_d 0.0
